"simscenarios","lambda.scenario","scenario","phi1.obs","phi1.true","phiad.obs","phiad.true","fec.obs","fec.true","det.abund","det.MR","det.prod","lambda"
7,"Increasing",23,0.754841878794104,0.87,0.395002516550408,0.39,0.853597041853194,0.75,"L","L","L","H"
7,"Increasing",16,0.275748152929291,0.33,0.817680998770756,0.82,0.821597069327872,0.675,"L","L","L","H"
7,"Increasing",5,0.666819266891761,0.49,0.211673743801967,0.22,1.2466547775306,1.675,"L","L","L","H"
7,"Increasing",25,0.577790764634588,0.53,0.433147346115342,0.44,1.07129488840327,1.15,"L","L","L","H"
7,"Increasing",20,0.217359002178972,0.15,0.759653302103388,0.76,1.3239276541009,1.95,"L","L","L","H"
7,"Increasing",13,0.282420807763829,0.28,0.783878803922494,0.79,0.971395602019182,0.95,"L","L","L","H"
7,"Increasing",6,0.225189953471015,0.18,0.776064304343645,0.77,1.21480349962127,1.55,"L","L","L","H"
7,"Increasing",11,0.705006610688549,0.76,0.368470183682301,0.36,0.947469878147544,0.9,"L","L","L","H"
7,"Increasing",21,0.274037310431867,0.15,0.640440253428211,0.65,1.45236741863514,2.6,"L","L","L","H"
8,"Increasing",3,0.659728391742273,0.57,0.303384818566486,0.3,1.13279083036866,1.325,"M","M","M","H"
8,"Increasing",2,0.722555066642623,0.56,0.182395598377863,0.19,1.2083015662315,1.55,"M","M","M","H"
8,"Increasing",1,0.181755587585513,0.12,0.807111990214854,0.81,1.34083629524985,2.025,"M","M","M","H"
8,"Increasing",12,0.323736498003519,0.43,0.827713183093876,0.83,0.664371313222341,0.5,"M","M","M","H"
8,"Increasing",10,0.174522966147453,0.1,0.809531638365896,0.81,1.41691083108833,2.45,"M","M","M","H"
8,"Increasing",19,0.2241887823656,0.15,0.767094708298204,0.77,1.31342287576351,1.925,"M","M","M","H"
8,"Increasing",16,0.280735435884291,0.33,0.819386989425626,0.82,0.804869171794251,0.675,"M","M","M","H"
8,"Increasing",17,0.113168884744585,0.13,0.953436034300792,0.95,0.895487738623309,0.8,"M","M","M","H"
8,"Increasing",7,0.523584736511017,0.5,0.489044307859107,0.49,1.04994336997036,1.1,"M","M","M","H"
8,"Increasing",9,0.13631673506774,0.18,0.967448830561785,0.97,0.666998755161049,0.5,"M","M","M","H"
8,"Increasing",13,0.266685616784172,0.28,0.79797647563641,0.79,0.976421044032665,0.95,"M","M","M","H"
8,"Increasing",18,0.307717327397422,0.39,0.837833118742945,0.84,0.703697687481971,0.55,"M","M","M","H"
8,"Increasing",4,0.404713319952658,0.34,0.576406207767487,0.58,1.16200914078118,1.375,"M","M","M","H"
8,"Increasing",24,0.818705061574778,0.86,0.265584080679885,0.26,0.95837063718396,0.925,"M","M","M","H"
